user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Who is the director of the MS in Applied Data Science program at UChicago?,"['David Uminsky, PhD – UChicago Data Science Institute, Executive Director']","The director of the MS in Applied Data Science program at UChicago is David Uminsky, PhD, who is listed as the Executive Director of the UChicago Data Science Institute [1]. The evidence provided does not explicitly state his role as the program director, though he is associated with the program's FAQs.",Greg Green is the Director of the MS in Applied Data Science Program at the University of Chicago. He is a Senior Instructional Professor and also serves as Senior Director for Industrial Partnerships and Strategy at the Data Science Institute.,0.25,0.9999999999998691,0.0,0.0
Who runs the online MS in Applied Data Science program?,"['The Online MS in Applied Data Science program at the University of Chicago delivers a structured online learning experience with live classes designed for working professionals.', ""# Page Structure: Master's in Applied Data Science\nURL: https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science\n\n- Master's in Applied Data Science [node_id: page:7b9e2af0a426bdaa] [type: Page]\n  - HAS_SECTION -> Programs [node_id: section:d09571040af49c8c] [type: Section]\n  - HAS_SECTION -> In-Person Program [node_id: section:243962533383050d] [type: Section]\n  - HAS_SECTION -> Online Program [node_id: section:daf7fadd58ec70c7] [type: Section]\n  - HAS_SECTION -> MBA/MS Program [node_id: section:9631562594fce870] [type: Section]\n  - HAS_SECTION -> Apply Today! [node_id: section:621376b0590e1fc8] [type: Section]\n  - HAS_SECTION -> How to Apply [node_id: section:0255fd5583d242af] [type: Section]\n  - HAS_SECTION -> Industry Leading Faculty [node_id: section:f895348f976bbc61] [type: Section]\n  - HAS_SECTION -> Data in Action - Capstone Projects [node_id: section:f1287fdd746250fc] [type: Section]\n  - HAS_SECTION -> How UChicago’s MS in Applied Data Science Prepares Future Innovators [node_id: section:2c2aff5bb826b079] [type: Section]\n  - HAS_SECTION -> Start Your Application [node_id: section:a1523d09ed289639] [type: Section]\n  - HAS_SECTION -> Related News, Insights, and Past Events [node_id: section:cfcc19cef3865744] [type: Section]\n  - HAS_SECTION -> The Time Constraints of AI Access Could Change How We Think [node_id: section:efa23469b96acdaa] [type: Section]\n  - HAS_SECTION -> Who Gets Hired, Paid, and Liked? Who Gets Credit? New Research Examines AI’s Role in Writing and the Workplace [node_id: section:44a86c57b73fabb9] [type: Section]\n  - HAS_SECTION -> University of Chicago Wins Distinguished Laude Institute Moonshots Seed Grant [node_id: section:613137b3458546c2] [type: Section]\n  - HAS_SECTION -> University of Chicago Announces Partnership with AI Research Commons and Microsoft to Accelerate Midwest AI Startups [node_id: section:fd15b6100e23d50a] [type: Section]\n  - HAS_SECTION -> Pathways to Impact in AI and Data Science with the Polsky Center for Entrepreneurship and Innovation [node_id: section:04fd06c256e30db9] [type: Section]\n  - HAS_SECTION -> University of Chicago Data Science Institute Welcomes Millennium as New Industry Affiliate Partner [node_id: section:6ffcd558b212d197] [type: Section]\n  - HAS_SECTION -> For Better Sleep, One MS-ADS Student Turned to Artificial Intelligence [node_id: section:14ec4754d4427cfa] [type: Section]\n  - HAS_SECTION -> From Chips to Agents: UChicago Watches NVIDIA’s Vision for the Next Era of AI [node_id: section:af0306e19ed94596] [type: Section]\n  - HAS_SECTION -> What If AI Scientists Could Talk to Each Other? [node_id: section:fef7d869faf544f1] [type: Section]""]","The Online MS in Applied Data Science program at the University of Chicago is administered by the university's data science academic offerings, as indicated by the program's description [1]. However, the specific department or office responsible for running the program is not explicitly mentioned in the provided evidence. Further details about program administration would require additional sources.","Arnab Bose, PhD, is the Program Director of the MS in Applied Data Science Online Program. He is an Associate Senior Instructional Professor and also serves as Chief Scientific Officer at UST AlphaAI.",0.5,0.8531202899896537,0.0,0.0
What courses does Arnab Bose teach in the program?,"['As an entrepreneur, Arnab had a startup focused on industrial applications of AI in healthcare, finance, semiconductor, and retail that he successfully exited post-acquisition. He is an advisor to AI companies and the Chief Scientific Officer at UST AlphaAI. At the University of Chicago, Arnab teaches Machine Learning, Machine Learning Operations, Time Series Analysis and Forecasting, and Data Science in Healthcare.']","Arnab Bose teaches the following courses in the UChicago MS in Applied Data Science program: Machine Learning, Machine Learning Operations, Time Series Analysis and Forecasting, and Data Science in Healthcare. This information is sourced from his faculty profile [1].","Arnab Bose teaches Machine Learning, Machine Learning Operations, Time Series Analysis and Forecasting, and Data Science in Healthcare in the MS in Applied Data Science program at the University of Chicago.",0.0,0.8186530713433573,0.9999999999,0.0
Which MS-ADS instructors have worked at Google?,"['Mike is a Staff Data Scientist at Google. His role involves consulting with large advertisers to help develop data science solutions to their marketing-related challenges. Before joining Google, Mike was a Senior Data Scientist at Nielsen, analyzing smart TV data. Mike has a PhD in Astrophysics from the University of Michigan. He also worked as a postdoctoral researcher at the Max-Planck Institute for Astrophysics in Germany before moving to Data Science.']","Mike Anderson, a Staff Data Scientist at Google, is listed as an instructor in the MS in Applied Data Science program. His current role at Google involves consulting with large advertisers on data science solutions for marketing challenges [1]. No other instructors in the program are mentioned as having worked at Google in the provided evidence.","Two instructors on the faculty page have Google experience. Greg Green previously served as Director at Google, and Mike Anderson is currently a Staff Data Scientist at Google where he consults with large advertisers on marketing data science problems.",0.6,0.5963993372013476,0.0,0.3333333333333333
Does sponsoring a capstone project cost money?,"['While there is no monetary cost or contract necessary to sponsor a project, we do consider this a partnership. Teams comprised of four students and guided by an instructor and subject matter expert are provided with expectations from the capstone sponsor and learning objectives, assignments, and evaluation requirements from instructors. In turn, Capstone partners should be prepared to provide the following:']","No, sponsoring a capstone project at the UChicago MS in Applied Data Science program does not involve any monetary cost or contractual obligations. The program describes sponsorship as a partnership, emphasizing collaboration rather than financial exchange [1]. Sponsors are expected to provide resources and guidance but are not required to pay fees or enter formal contracts.","No. There is no monetary cost or contract necessary to sponsor a capstone project, though sponsors are expected to engage as a partner in the work.",0.8333333333333334,0.8521884012541614,0.9999999999,1.0
What does my company need to provide if we sponsor a capstone project?,"['While there is no monetary cost or contract necessary to sponsor a project, we do consider this a partnership. Teams comprised of four students and guided by an instructor and subject matter expert are provided with expectations from the capstone sponsor and learning objectives, assignments, and evaluation requirements from instructors. In turn, Capstone partners should be prepared to provide the following:', '- A detailed problem statement with a description of the data and expected results\n- Two or more points of contact\n- Access to data relevant to the project by the first week of the applicable quarter\n- Engagement through regular meetings (typically bi-weekly) while classes are in session\n- If requested, a non-disclosure agreement that may be completed by the student team']","If your company sponsors a capstone project, you will need to provide the following:  
- A detailed problem statement with a description of the data and expected results [1].  
- Two or more points of contact [1].  
- Access to relevant data by the first week of the applicable quarter [1].  
- Engagement through regular meetings (typically bi-weekly) while classes are in session [1].  
- If requested, a non-disclosure agreement that may be completed by the student team [1].  

There is no monetary cost or contract required for sponsorship [1].","Sponsors are asked to provide a detailed problem statement describing the data and expected results, two or more points of contact, access to the relevant data by the first week of the applicable quarter, and engagement through regular (typically bi-weekly) meetings while classes are in session. If requested, sponsors can also have the student team sign a non-disclosure agreement.",1.0,0.9609947853514459,0.99999999995,1.0
Can you give me some examples of past capstone projects students have worked on?,"['UChicago Applied Data Science students designed an AI-powered app that transforms children’s prompts into personalized stories. Using natural language processing and machine learning, the team built a system that generates dynamic, age-appropriate narratives in real time, showcasing how data science can merge creativity with technology to bring imagination to life.', 'As part of their Capstone Project, a team of MS in Applied Data Science students developed SkySearch, a drone-based vision system that enables drones to identify and locate objects in real-world environments using simple human prompts.', 'From predicting floods to powering potential clinical breakthroughs, students in the University of Chicago MS in Applied Data Science program are using their skills to make a real impact.']","Students in the UChicago MS in Applied Data Science program have worked on diverse capstone projects, such as an AI-powered storytelling app that uses natural language processing and machine learning to generate personalized, age-appropriate narratives in real time [1], and SkySearch, a drone-based vision system enabling drones to identify and locate objects based on simple human prompts [2]. Another example highlights projects focused on ""Data Science for Good,"" which include applications like flood prediction and clinical breakthroughs, though specific project names are not detailed in this context [3].","Past capstone projects in the archive include Argonne's Rezzy AI support chatbot for an EV charger reservation app, Inference Analytics' automated ICD-10 code prediction using LLMs, an MCP-driven multi-agent RAG system for prostate cancer summarization, Aetna's optimization engine for scenario planning, Chicago Baseball's pitcher motion-tracking project, and HERE Technologies' vehicle perception data alignment work. Other archived sponsors include Global IQ, LatentView Analytics, and Ateema.",1.0,0.7631426457136296,0.0,0.0
"What does the capstone project look like, and can I do a research-focused project instead of an industry one?","['The required Capstone Project is completed over two quarters and covers research design, implementation, and writing.', 'The required Capstone Project is completed over two quarters and covers research design, implementation, and writing.', 'Data Science Capstone Project (Letter Grade): The required Capstone Project is completed over two quarters and covers research design, implementation, and writing. Full-time students start their capstone project in their third quarter. Part-time students generally begin the capstone project in their fifth quarter.', 'Data Science Capstone Project (Letter Grade): The required Capstone Project is completed over two quarters and covers research design, implementation, and writing. Full-time students start their capstone project in their third quarter. Part-time students generally begin the capstone project in their fifth quarter.', 'Data Science Capstone Project (Letter Grade): The required Capstone Project is completed over two quarters and covers research design, implementation, and writing. Full-time students start their capstone project in their third quarter. Part-time students generally begin the capstone project in their fifth quarter.', 'Data Science Capstone Project (Letter Grade): The required Capstone Project is completed over two quarters and covers research design, implementation, and writing. Full-time students start their capstone project in their third quarter. Part-time students generally begin the capstone project in their fifth quarter.', 'Data Science Capstone Project (Letter Grade): The required Capstone Project is completed over two quarters and covers research design, implementation, and writing. Full-time students start their capstone project in their third quarter. Part-time students generally begin the capstone project in their fifth quarter.', '# Page Structure: Capstone Projects\nURL: https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/capstone-projects\n\n- Capstone Projects [node_id: page:7bb1d6dfc9a88079] [type: Page]\n  - HAS_SECTION -> Page Header Content [node_id: section:f818b0574831f787] [type: Section]\n  - HAS_SECTION -> Capstone Experience [node_id: section:f323ea953a4c7d65] [type: Section]\n  - HAS_SECTION -> Capstone Research Projects [node_id: section:ff7e7a3ed46e0b56] [type: Section]\n  - HAS_SECTION -> Interested in Becoming a Capstone Sponsor? [node_id: section:716fd27a335cf4cf] [type: Section]\n  - HAS_SECTION -> Selected Capstone Projects [node_id: section:f0c2f98f88433f5d] [type: Section]\n  - HAS_SECTION -> AI-Powered Storytelling App [node_id: section:82250d09b694ae9a] [type: Section]\n  - HAS_SECTION -> SkySearch – Smarter Search from Above [node_id: section:5c43e19844f81b49] [type: Section]\n  - HAS_SECTION -> Data Science for Good [node_id: section:025e42bfb9e0ac97] [type: Section]\n  - HAS_SECTION -> Capstone Sponsor Incentives [node_id: section:6b1fc8d66672645c] [type: Section]\n  - HAS_SECTION -> Capstone Sponsor Obligations [node_id: section:6b34f1e3243f7a43] [type: Section]\n  - HAS_SECTION -> Interested in Becoming a Capstone or Industry Research Partner? [node_id: section:0288fccdc1108361] [type: Section]', 'The culminating experience in the Master’s in Applied Data Science program is a Capstone Project . You will immerse yourself in a real business problem and will gain valuable, data driven insights using authentic data. Together with project sponsors, you will develop a data science solution to address organization problems, enhance analytics capabilities, and expand talent pools and employment opportunities. Leveraging the university’s rich research portfolio, you also have the option to join a research-focused team . Hear directly from a faculty advisor in this video about how students engage in research-driven capstone projects with real-world applications.']","The capstone project in the UChicago MS in Applied Data Science program is a two-quarter requirement covering research design, implementation, and writing [1][2][3][4][5][6][7]. Full-time students typically begin in their third quarter, while part-time students start in their fifth quarter [3][4][5][6][7].  

Regarding project focus, the program allows students to engage in **research-focused capstone projects** as an option, particularly through partnerships with faculty and leveraging the university’s research portfolio [8][9]. While the evidence does not explicitly state whether students must choose between industry and research projects, it highlights that research-driven initiatives are available and emphasize real-world applications [8][9]. Students interested in research-focused work can explore opportunities through the program’s collaboration with faculty and research partners.","The capstone is the culminating experience of the MS-ADS program, where students work on a real business problem with project sponsors using authentic data to develop a data science solution. Students also have the option to join a research-focused team that leverages the university's research portfolio, with a faculty advisor, instead of an industry-sponsored project. Featured industry-sponsored examples include the AI-Powered Storytelling App and SkySearch drone vision system, while the broader archive lists projects with sponsors like Argonne, Aetna, and HERE Technologies.",0.9166666666666666,0.0,0.17361111110243055,1.0
How much does the MS in Applied Data Science program cost per course?,"['- Tuition for the 12- and 18-course MS in Applied Data Science program: $6,384 per course*/$76,608+^, 12 courses/$114,912+^, 18 courses\n- Program Enrollment Deposit (non-refundable): $1,500 (credited toward your first quarter’s tuition balance)']","The MS in Applied Data Science program costs **$6,384 per course** [1]. This rate applies to both the 12-course and 18-course tracks, with total program costs listed as $76,608+ for 12 courses or $114,912+ for 18 courses [1].","Tuition is $6,384 per course, which works out to $76,608 for the 12-course program or $114,912 for the 18-course program. There is also a non-refundable $1,500 program enrollment deposit that is credited toward the first quarter's tuition balance.",1.0,0.9436142675085826,0.9999999999,1.0
What is the median post-graduation salary for MS-ADS graduates?,"['*All outcomes are based on 2024-2025 First Destination survey data.', 'The career outcomes for our MS in Applied Data Science graduates are exceptional. Explore the diverse career paths our alumni have pursued, from top employers to leading industries actively seeking our graduates.']","The provided evidence does not include specific information about the median post-graduation salary for MS-ADS graduates. The available details focus on career outcomes and employer destinations [1], [2], but no salary data is referenced. For precise salary statistics, further consultation of the program's official resources or additional evidence would be required.","The median post-graduation salary for MS-ADS graduates is $130,000.",0.5,0.9999999999999054,0.0,0.0
What does the MS-ADS student body look like demographically?,['# Page Structure: Our Students\nURL: https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/our-students\n\n- Our Students [node_id: page:1c2b530a9935e8fd] [type: Page]\n  - HAS_SECTION -> Page Header Content [node_id: section:f8a5aafcf60ca806] [type: Section]\n  - HAS_SECTION -> Embedded Data Visualizations [node_id: section:4c5be60238eaba9d] [type: Section]\n    - HAS_DIAGRAM -> In-Person Program Age Breakdown [node_id: diagram:78b9c5084a4d219d] [type: Diagram]\n    - HAS_DIAGRAM -> Online Program Age Breakdown [node_id: diagram:a4df66f11f1158a3] [type: Diagram]\n    - HAS_DIAGRAM -> In-Person Program Gender Breakdown [node_id: diagram:4d716eb8c993c708] [type: Diagram]\n    - HAS_DIAGRAM -> Online Program Gender Breakdown [node_id: diagram:b72356c818db5fd8] [type: Diagram]\n    - HAS_DIAGRAM -> In-Person Program Work Experience [node_id: diagram:95dd70d03fc16938] [type: Diagram]\n    - HAS_DIAGRAM -> Online Program Work Experience [node_id: diagram:24380c09cd7d44d8] [type: Diagram]\n    - HAS_DIAGRAM -> Top 5 In-Person Program Majors [node_id: diagram:dc07a533effb95ee] [type: Diagram]\n    - HAS_DIAGRAM -> Top 5 Online Program Majors [node_id: diagram:35021f2432bc031b] [type: Diagram]\n    - HAS_DIAGRAM -> Student Geographic Distribution [node_id: diagram:05b7e60bef527fb2] [type: Diagram]\n  - HAS_SECTION -> Meet a Few of Our Students [node_id: section:4277a7320c73dbd4] [type: Section]\n    - HAS_SECTION -> Age Breakdown (In-Person & Online) [node_id: section:10d680bf0d5a83f5] [type: Section]\n    - HAS_SECTION -> Gender Breakdown (In-Person & Online) [node_id: section:e2788512d88546b2] [type: Section]\n    - HAS_SECTION -> Work Experience (In-Person & Online) [node_id: section:1d35f58f9cba0af4] [type: Section]\n    - HAS_SECTION -> Top 5 Undergraduate Majors (In-Person & Online) [node_id: section:ae2ebfbee1c7d4bc] [type: Section]\n    - HAS_SECTION -> Primary Citizenship (In-Person Students) [node_id: section:78b1274390d84478] [type: Section]'],"The MS-ADS student body includes a diverse range of ages, genders, work experiences, and academic backgrounds. Age breakdowns for both in-person and online programs are provided [1], though specific percentages or ranges are not detailed in the text. Gender distribution is outlined for both program formats [1], but again, exact figures are not included. Work experience varies among students, with breakdowns categorized for in-person and online cohorts [1]. The top 5 undergraduate majors for both programs are listed [1], indicating a mix of disciplines such as computer science, mathematics, and engineering. Additionally, geographic distribution is noted [1], but demographic data beyond these categories (e.g., ethnicity, race) is not explicitly provided in the evidence.","The Our Students page profiles the Autumn 2025 in-person and online cohorts across age breakdown, gender breakdown, work experience, top 5 undergraduate majors, and primary citizenship. The page notes that students range from early-career analysts to seasoned engineers and managers, and that the in-person cohort includes students from around the world. Specific numeric breakdowns are presented as charts on the page rather than in the text.",,0.8322936150085773,0.9999999999,0.6666666666666666
"Who directs the In-Person and Online MS-ADS programs, and where can I learn more about them?","[""# Page Structure: Master's in Applied Data Science\nURL: https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science\n\n- Master's in Applied Data Science [node_id: page:7b9e2af0a426bdaa] [type: Page]\n  - HAS_SECTION -> Programs [node_id: section:d09571040af49c8c] [type: Section]\n  - HAS_SECTION -> In-Person Program [node_id: section:243962533383050d] [type: Section]\n  - HAS_SECTION -> Online Program [node_id: section:daf7fadd58ec70c7] [type: Section]\n  - HAS_SECTION -> MBA/MS Program [node_id: section:9631562594fce870] [type: Section]\n  - HAS_SECTION -> Apply Today! [node_id: section:621376b0590e1fc8] [type: Section]\n  - HAS_SECTION -> How to Apply [node_id: section:0255fd5583d242af] [type: Section]\n  - HAS_SECTION -> Industry Leading Faculty [node_id: section:f895348f976bbc61] [type: Section]\n  - HAS_SECTION -> Data in Action - Capstone Projects [node_id: section:f1287fdd746250fc] [type: Section]\n  - HAS_SECTION -> How UChicago’s MS in Applied Data Science Prepares Future Innovators [node_id: section:2c2aff5bb826b079] [type: Section]\n  - HAS_SECTION -> Start Your Application [node_id: section:a1523d09ed289639] [type: Section]\n  - HAS_SECTION -> Related News, Insights, and Past Events [node_id: section:cfcc19cef3865744] [type: Section]\n  - HAS_SECTION -> The Time Constraints of AI Access Could Change How We Think [node_id: section:efa23469b96acdaa] [type: Section]\n  - HAS_SECTION -> Who Gets Hired, Paid, and Liked? Who Gets Credit? New Research Examines AI’s Role in Writing and the Workplace [node_id: section:44a86c57b73fabb9] [type: Section]\n  - HAS_SECTION -> University of Chicago Wins Distinguished Laude Institute Moonshots Seed Grant [node_id: section:613137b3458546c2] [type: Section]\n  - HAS_SECTION -> University of Chicago Announces Partnership with AI Research Commons and Microsoft to Accelerate Midwest AI Startups [node_id: section:fd15b6100e23d50a] [type: Section]\n  - HAS_SECTION -> Pathways to Impact in AI and Data Science with the Polsky Center for Entrepreneurship and Innovation [node_id: section:04fd06c256e30db9] [type: Section]\n  - HAS_SECTION -> University of Chicago Data Science Institute Welcomes Millennium as New Industry Affiliate Partner [node_id: section:6ffcd558b212d197] [type: Section]\n  - HAS_SECTION -> For Better Sleep, One MS-ADS Student Turned to Artificial Intelligence [node_id: section:14ec4754d4427cfa] [type: Section]\n  - HAS_SECTION -> From Chips to Agents: UChicago Watches NVIDIA’s Vision for the Next Era of AI [node_id: section:af0306e19ed94596] [type: Section]\n  - HAS_SECTION -> What If AI Scientists Could Talk to Each Other? [node_id: section:fef7d869faf544f1] [type: Section]""]","The provided evidence does not explicitly state who directs the In-Person and Online MS-ADS programs at the University of Chicago. The page structure lists sections such as ""Industry Leading Faculty"" and program-specific sections (e.g., ""In-Person Program,"" ""Online Program""), but no direct references to program directors or their names are included in the evidence [1]. 

To learn more about the program directors or leadership, you would need to visit the official UChicago MS in Applied Data Science website or contact the university’s admissions or program management team directly. The [ev_001] page’s ""Industry Leading Faculty"" section may provide insights into faculty involved in the program, but it does not confirm directorship roles.","The In-Person MS in Applied Data Science program is directed by Greg Green, PhD, and the Online program is directed by Arnab Bose, PhD. Both are senior instructional professors with industry backgrounds, and their full bios are available on the Faculty, Instructors, Staff page.",0.6,0.0,0.0,0.0
"What's the total tuition for the 2-year thesis track program, and how many courses does it include?","['All students complete:\n1. 18 total courses (6 Core, 8 Electives, 2 Capstone, 2 Independent Study).\n2. A required Career Seminar throughout the program. Those with 3+ years of full-time work experience may petition for exemption.\n3. A 2-quarter Capstone Project .\n4. A Master’s Thesis (traditional written thesis or project-based thesis).']","The 2-year thesis track program includes 18 total courses [1]. However, the provided evidence does not specify the total tuition cost for the program.","The 2-year thesis track requires 18 total courses (6 Core, 8 Electives, 2 Capstone, 2 Independent Study) plus a master's thesis. At the listed rate of $6,384 per course for Summer 2025 through Spring 2026, the 18-course total is approximately $114,912, plus a $1,500 non-refundable enrollment deposit. Tuition is expected to increase 3-7% per fiscal year, so students completing the program over two fiscal years will pay an increased rate in year two.",0.5,0.0,0.9999999999,0.3333333333333333
